epoch,train_con_loss,train_sim_acc,val_con_loss,val_sim_acc,test_con_loss,test_sim_acc,lr
1,2.5660102445237776,0.531851470209399,0.44286923691993807,0.5633829889476213,0.44056851798441354,0.5675986212179241,0.0004969221461291213
2,0.42259839015848494,0.5661318220292202,0.40857563549425546,0.5657856799615569,0.41017291894773156,0.5644389122941402,0.00048776452186678965
3,0.38202110774376813,0.6029882604055496,0.36689099723972923,0.6181643440653531,0.363245807042936,0.6167177326694753,0.0004727530657242985
4,0.3511748775313882,0.6317484267471387,0.35003064173023873,0.6496876501681884,0.3431601477105443,0.6539639984680199,0.00045225814297936905
5,0.32940636585740485,0.6514922901409488,0.3374379945964348,0.6389235944257569,0.33650170793620554,0.642952891612409,0.000426785407959086
6,0.3140535348303178,0.667151216280867,0.32518157326593633,0.6624699663623258,0.3208124546743021,0.6669858291842206,0.0003969633284476903
7,0.2948202326367883,0.6856990394877268,0.3168323964970868,0.6580490148966843,0.311054717476775,0.6589429337418613,0.00036352768001922435
8,0.2755912220478058,0.7058293158650131,0.30309861353257805,0.6745795290725612,0.2985867887008481,0.6781884335503638,0.0003273033928535752
9,0.263261841079768,0.7162992676553932,0.30371218883409734,0.658433445458914,0.30066072613727757,0.6574109536576025,0.00028918419891445116
10,0.2509392043071635,0.7301365325874949,0.29701577653972117,0.6963959634790966,0.29726419089044015,0.6924549980850249,0.00025011058163768637
11,0.23317582828157088,0.7485371508482686,0.297363454248847,0.6962998558385392,0.2946859358287439,0.7005936422826503,0.0002110465721590284
12,0.21991059187580558,0.761822397232547,0.29641336184449313,0.7054300816914945,0.2919624280638811,0.7093067790118729,0.0001729559645689458
13,0.20477176164879518,0.7770581091524675,0.2960261577149717,0.695819317635752,0.28786524694140364,0.7007851397931827,0.0001367785370158574
14,0.1879467097626013,0.7962315533801936,0.29252115818785457,0.7103315713599231,0.2876053841375723,0.7112217541171965,0.00010340686533489512
15,0.17446647554636002,0.8097560078018622,0.29181353184508113,0.7152330610283517,0.2890913032177018,0.7207966296438146,7.366430126041519e-05
16,0.15948981293860603,0.8262245611452544,0.2868930672000094,0.7150408457472369,0.28688697189819523,0.7149559555725775,4.828465854766019e-05
17,0.1506771973827306,0.8359400875869429,0.29233782974685113,0.7165785679961557,0.2891791608275437,0.7201263883569513,2.789410819113875e-05
18,0.14051004839294098,0.846906856070364,0.28507645373664253,0.7094666025949063,0.2838450715672679,0.7078705476828802,1.299572942407073e-05
19,0.13604045177207275,0.8525374452581607,0.2881004248813885,0.7034118212397885,0.2854899006282411,0.7050938337801609,3.957097659346196e-06
20,0.1327654818401617,0.8555367460346668,0.2872743019607009,0.7056222969726094,0.2849426262262391,0.7093067790118729,1.001215604496245e-06
