epoch,train_loss,train_con_loss,train_clsf_loss,train_sim_acc,train_clsf_acc,val_con_loss,val_clsf_loss,val_sim_acc,val_clsf_acc,test_con_loss,test_clsf_loss,test_sim_acc,test_clsf_acc,lr
1,2.4899083426419426,0.12940932507024092,2.3604990151349234,0.700713943988518,0.6272034740367276,0.09593986588098653,1.35202631218281,0.7418548774627582,0.5780394041326286,0.0974220506756044,1.3789245429873604,0.7337227116047491,0.5707583301417082,0.0004969221461291213
2,1.6202126486161177,0.08036232785266989,1.5398503208160401,0.8150921870974864,0.7621628086703713,0.08647262077869439,1.305598538910638,0.7527150408457473,0.611340701585776,0.08792254533164384,1.344262857904657,0.7494255074684029,0.6025469168900804,0.00048776452186678965
3,0.9769863322201897,0.06364441793631105,0.9133419139244977,0.883064070952784,0.8609557281124646,0.08325547316088909,1.4734464678839958,0.7442575684766939,0.597164824603556,0.08346383541640712,1.5484209027796219,0.7435848333971659,0.5855515128303332,0.0004727530657242985
4,0.5242039577399983,0.05247610737295712,0.4717278492450714,0.9251646855334339,0.9285043977477643,0.08016053673515959,1.7278959003679457,0.7382988947621336,0.5914464199903893,0.08066491328361558,1.80974238880381,0.7438720796629644,0.5832056683263117,0.00045225814297936905
5,0.29197141997954423,0.04468384258010808,0.2472875769874629,0.9428844809185588,0.963631178007581,0.07989820510875888,1.9701636091669497,0.7289764536280634,0.5886112445939452,0.08013138006918313,2.0383257622099706,0.7349674454232095,0.5830620451934125,0.000426785407959086
6,0.1795215091810507,0.0378851130560917,0.1416363960504532,0.9453501637655025,0.9805137452618408,0.0762784271160277,2.1092841130045388,0.7239788563190773,0.5965401249399327,0.07666642123424425,2.1388526938053807,0.7235733435465339,0.596514745308311,0.0003969633284476903
7,0.1154061470838154,0.0325616371105699,0.08284450991627049,0.939296360357708,0.989152835535274,0.07311076234753539,2.219560565105257,0.7255165785679961,0.5976934166266218,0.07324986005338227,2.2708315363518357,0.7229988510149368,0.6006798161623899,0.00036352768001922435
8,0.07139081953641246,0.026582120805978774,0.04480869888163665,0.9353034261951202,0.9945718176130718,0.06919132836344766,2.1307644009303726,0.6833253243632869,0.6132628543969245,0.06948495833430349,2.221283878964147,0.6822098812715435,0.6062811183454615,0.0003273033928535752
9,0.05200274230364491,0.022455771525993068,0.029546970902558634,0.9362970595812019,0.9960530673830641,0.06756832468800428,2.203719390876473,0.6959154252763095,0.6185007208073042,0.06766537417907541,2.3086378893054156,0.6955189582535427,0.6065683646112601,0.00028918419891445116
10,0.04157498416874338,0.019252349475727362,0.02232263469849439,0.9397563758142273,0.9967614911861038,0.06621520421126993,2.116489649850093,0.6877462758289284,0.6274867851994234,0.06664277699480696,2.2237167896232766,0.6868058215243202,0.6158081194944466,0.00025011058163768637
11,0.031627225715886144,0.015743648155647164,0.015883577622144537,0.947834247230707,0.997479115298274,0.06553430491831244,2.1493769503625066,0.6746756367131187,0.6304661220567035,0.06590423010653113,2.281030271483399,0.6679433167368825,0.6126005361930295,0.0002110465721590284
12,0.025057968856657252,0.013325746504261214,0.011732222295010133,0.956519339049792,0.997975931991315,0.06506385417973123,2.200014840153076,0.6848630466122057,0.6294569918308506,0.06562307576944189,2.3284598231452582,0.6795289161240904,0.6178667177326694,0.0001729559645689458
13,0.019491285061573282,0.01140185277470771,0.008089432287276448,0.961892319581938,0.9985647517756596,0.06513664771507426,2.130782814383335,0.6594906295050457,0.6330129745314752,0.06575623295474343,2.2653198875900613,0.6541554959785523,0.6136537725009575,0.0001367785370158574
14,0.017075440435505965,0.01011223053888363,0.0069632099060725205,0.9663452692010451,0.9987119567217458,0.06493501219807601,2.157713245050888,0.6601633829889476,0.6299855838539163,0.06566370819218276,2.2950745704574906,0.6546342397548832,0.6137016468785905,0.00010340686533489512
15,0.015326150359914583,0.009048800547333325,0.006277349882978288,0.9689029551392927,0.9987211570308763,0.06503432689280045,2.126802879477395,0.6512253724171072,0.6341662662181643,0.06606060870718665,2.267158668281383,0.6441018766756033,0.6111643048640367,7.366430126041519e-05
16,0.01260842527536785,0.008246307672165772,0.004362117578275502,0.9731534979575314,0.9990799690869613,0.06505811000924284,2.1365408487012902,0.6508409418548775,0.6335896203748198,0.06604731387299735,2.2702473853566736,0.6458253542703944,0.612887782458828,4.828465854766019e-05
17,0.011137626006761018,0.0075824621779953735,0.0035551638242117514,0.9749935597836087,0.9991535715600044,0.06527463651103217,2.1332152674142013,0.6451705910619894,0.6337818356559346,0.06610972188958307,2.2706945638280405,0.641899655304481,0.6137016468785905,2.789410819113875e-05
18,0.010512840876027066,0.007275274420047507,0.0032375664388596573,0.9761159974975159,0.999263975269569,0.06525885100226576,2.1348773875871223,0.6468044209514656,0.632724651609803,0.06614407247341261,2.275343108295892,0.6421869015702796,0.6118345461509,1.299572942407073e-05
19,0.009875789629843305,0.00700470467152841,0.0028710849659846108,0.9771096308835977,0.9993743789791337,0.06538457727832038,2.1397041565978947,0.6429601153291686,0.6335896203748198,0.06625936820921374,2.2743300813589458,0.6395059364228265,0.6146591344312524,3.957097659346196e-06
20,0.009621362508658101,0.006923750278485172,0.002697612246608033,0.9780664630331579,0.9993743789791337,0.06536533265579038,2.114051875078237,0.6405574243152331,0.6348870735223451,0.06625993036460585,2.24686570498095,0.6368249712753734,0.614419762543087,1.001215604496245e-06
